window_index,timestamp,node_name,node_ip,zone,node_type,bytes_sent,bytes_recv,pkts_sent,pkts_recv,pkt_drops,latency_ms,jitter_ms,tcp_connections,retransmits,queue_depth_bytes,queue_depth_pkts,bandwidth_limit_mbit,netem_delay_ms,netem_loss_pct,current_label,current_label_index,pred_horizon_15s_label,pred_horizon_15s_index,pred_horizon_30s_label,pred_horizon_30s_index,pred_horizon_60s_label,pred_horizon_60s_index
1,1777674896.278,h2_cam,192.168.20.21,home-b,iot,0,0,0,0,0,1.791,1.733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,DDOS_SOURCE,14,DDOS_SOURCE,14,NORMAL,0
1,1777674896.278,h2_nas,192.168.20.31,home-b,home,0,0,0,0,0,1.035,0.944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,NORMAL,0,NORMAL,0,NORMAL,0
1,1777674896.278,h2_pc,192.168.20.11,home-b,home,0,0,0,0,0,0.123,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,NORMAL,0,NORMAL,0,NORMAL,0
1,1777674896.278,isp_r1,10.255.0.1,backbone,router,0,0,0,0,0,0.06,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,NORMAL,0,NORMAL,0,NORMAL,0
1,1777674896.278,r_dc,10.255.0.30,datacenter,router,0,0,0,0,0,0.05,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,NORMAL,0,NORMAL,0,NORMAL,0
1,1777674896.278,r_ent1,10.255.0.11,enterprise-a,router,0,0,0,0,0,0.965,0.921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,NORMAL,0,NORMAL,0,NORMAL,0
1,1777674896.278,r_ent2,10.255.0.12,enterprise-b,router,0,0,0,0,0,0.053,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,NORMAL,0,NORMAL,0,NORMAL,0
1,1777674896.278,r_home1,10.255.0.21,home-a,router,0,0,0,0,0,0.076,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,NORMAL,0,NORMAL,0,NORMAL,0
1,1777674896.278,r_home2,10.255.0.22,home-b,router,0,0,0,0,0,0.116,0.049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,NORMAL,0,NORMAL,0,NORMAL,0
2,1777674910.27,dc_monitor,172.16.1.40,datacenter,security,0,0,0,0,0,0.855,0.772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,NORMAL,0,NORMAL,0,NORMAL,0
2,1777674910.27,dc_pub_dns,172.16.1.53,datacenter,dns,0,0,0,0,0,0.057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,NORMAL,0,NORMAL,0,NORMAL,0
2,1777674910.27,dc_vpn,172.16.1.30,datacenter,server,0,0,0,0,0,16.098,16.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,NORMAL,0,NORMAL,0,NORMAL,0
2,1777674910.27,dc_web,172.16.1.20,datacenter,server,0,0,0,0,0,0.08,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,DDOS_TARGET,15,DDOS_TARGET,15,NORMAL,0
2,1777674910.27,e1_dhcp,10.10.1.2,enterprise-a,dhcp,0,0,0,0,0,1.103,1.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,NORMAL,0,NORMAL,0,NORMAL,0
2,1777674910.27,e1_dns,10.10.1.53,enterprise-a,dns,0,0,0,0,0,0.979,0.073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,NORMAL,0,NORMAL,0,NORMAL,0
2,1777674910.27,e1_erp,10.10.1.40,enterprise-a,enterprise,0,0,0,0,0,0.59,0.486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,NORMAL,0,NORMAL,0,NORMAL,0
2,1777674910.27,e1_pc1,10.10.1.11,enterprise-a,enterprise,0,0,0,0,0,0.104,0.046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,NORMAL,0,NORMAL,0,NORMAL,0
2,1777674910.27,e1_pc2,10.10.1.12,enterprise-a,enterprise,0,0,0,0,0,11.973,11.891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,NORMAL,0,NORMAL,0,NORMAL,0
2,1777674910.27,e2_crm,10.20.1.41,enterprise-b,enterprise,0,0,0,0,0,5.533,5.255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,NORMAL,0,NORMAL,0,NORMAL,0
2,1777674910.27,e2_dhcp,10.20.1.2,enterprise-b,dhcp,0,0,0,0,0,1.757,1.673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,NORMAL,0,NORMAL,0,NORMAL,0
2,1777674910.27,e2_dns,10.20.1.53,enterprise-b,dns,0,0,0,0,0,0.612,0.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,NORMAL,0,NORMAL,0,NORMAL,0
2,1777674910.27,e2_pc1,10.20.1.11,enterprise-b,enterprise,0,0,0,0,0,0.064,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,NORMAL,0,NORMAL,0,NORMAL,0
2,1777674910.27,e2_pc2,10.20.1.12,enterprise-b,enterprise,0,0,0,0,0,5.211,5.162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,NORMAL,0,NORMAL,0,NORMAL,0
2,1777674910.27,h1_iot,192.168.10.31,home-a,iot,0,0,0,0,0,0.707,0.618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,DDOS_SOURCE,14,DDOS_SOURCE,14,NORMAL,0
2,1777674910.27,h1_pc,192.168.10.11,home-a,home,0,0,0,0,0,0.08,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,NORMAL,0,NORMAL,0,NORMAL,0
2,1777674910.27,h1_tv,192.168.10.21,home-a,iot,0,0,0,0,0,0.591,0.513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,NORMAL,0,NORMAL,0,NORMAL,0
2,1777674910.27,h2_cam,192.168.20.21,home-b,iot,0,0,0,0,0,0.888,0.821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,DDOS_SOURCE,14,DDOS_SOURCE,14,NORMAL,0
2,1777674910.27,h2_nas,192.168.20.31,home-b,home,0,0,0,0,0,1.149,1.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,NORMAL,0,NORMAL,0,NORMAL,0
2,1777674910.27,h2_pc,192.168.20.11,home-b,home,0,0,0,0,0,0.071,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,NORMAL,0,NORMAL,0,NORMAL,0
2,1777674910.27,isp_r1,10.255.0.1,backbone,router,0,0,0,0,0,0.049,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,NORMAL,0,NORMAL,0,NORMAL,0
2,1777674910.27,r_dc,10.255.0.30,datacenter,router,0,0,0,0,0,0.044,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,NORMAL,0,NORMAL,0,NORMAL,0
2,1777674910.27,r_ent1,10.255.0.11,enterprise-a,router,0,0,0,0,0,0.055,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,NORMAL,0,NORMAL,0,NORMAL,0
2,1777674910.27,r_ent2,10.255.0.12,enterprise-b,router,0,0,0,0,0,0.056,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,NORMAL,0,NORMAL,0,NORMAL,0
2,1777674910.27,r_home1,10.255.0.21,home-a,router,0,0,0,0,0,0.051,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,NORMAL,0,NORMAL,0,NORMAL,0
2,1777674910.27,r_home2,10.255.0.22,home-b,router,0,0,0,0,0,0.041,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,NORMAL,0,NORMAL,0,NORMAL,0
3,1777674924.562,dc_monitor,172.16.1.40,datacenter,security,0,0,0,0,0,0.648,0.586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,NORMAL,0,NORMAL,0,NORMAL,0
3,1777674924.562,dc_pub_dns,172.16.1.53,datacenter,dns,0,0,0,0,0,0.557,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,NORMAL,0,NORMAL,0,NORMAL,0
3,1777674924.562,dc_vpn,172.16.1.30,datacenter,server,0,0,0,0,0,0.708,0.647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,NORMAL,0,NORMAL,0,NORMAL,0
3,1777674924.562,dc_web,172.16.1.20,datacenter,server,0,0,0,0,0,0.109,0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,DDOS_TARGET,15,DDOS_TARGET,15,NORMAL,0
3,1777674924.562,e1_dhcp,10.10.1.2,enterprise-a,dhcp,0,0,0,0,0,15.185,15.118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,NORMAL,0,NORMAL,0,NORMAL,0
3,1777674924.562,e1_dns,10.10.1.53,enterprise-a,dns,0,0,0,0,0,0.353,0.282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,NORMAL,0,NORMAL,0,NORMAL,0
3,1777674924.562,e1_erp,10.10.1.40,enterprise-a,enterprise,0,0,0,0,0,1.17,0.988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,NORMAL,0,NORMAL,0,NORMAL,0
3,1777674924.562,e1_pc1,10.10.1.11,enterprise-a,enterprise,0,0,0,0,0,0.088,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,NORMAL,0,NORMAL,0,NORMAL,0
3,1777674924.562,e1_pc2,10.10.1.12,enterprise-a,enterprise,0,0,0,0,0,0.611,0.527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,NORMAL,0,NORMAL,0,NORMAL,0
3,1777674924.562,e2_crm,10.20.1.41,enterprise-b,enterprise,0,0,0,0,0,0.696,0.613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,NORMAL,0,NORMAL,0,NORMAL,0
3,1777674924.562,e2_dhcp,10.20.1.2,enterprise-b,dhcp,0,0,0,0,0,0.387,0.316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,NORMAL,0,NORMAL,0,NORMAL,0
3,1777674924.562,e2_dns,10.20.1.53,enterprise-b,dns,0,0,0,0,0,29.218,29.129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,NORMAL,0,NORMAL,0,NORMAL,0
3,1777674924.562,e2_pc1,10.20.1.11,enterprise-b,enterprise,0,0,0,0,0,0.063,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,NORMAL,0,NORMAL,0,NORMAL,0
3,1777674924.562,e2_pc2,10.20.1.12,enterprise-b,enterprise,0,0,0,0,0,11.289,11.214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,NORMAL,0,NORMAL,0,NORMAL,0
3,1777674924.562,h1_iot,192.168.10.31,home-a,iot,0,0,0,0,0,0.057,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,DDOS_SOURCE,14,DDOS_SOURCE,14,NORMAL,0
3,1777674924.562,h1_pc,192.168.10.11,home-a,home,0,0,0,0,0,0.061,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,NORMAL,0,NORMAL,0,NORMAL,0
3,1777674924.562,h1_tv,192.168.10.21,home-a,iot,0,0,0,0,0,3.463,3.404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,NORMAL,0,NORMAL,0,NORMAL,0
3,1777674924.562,h2_cam,192.168.20.21,home-b,iot,0,0,0,0,0,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,DDOS_SOURCE,14,DDOS_SOURCE,14,NORMAL,0
3,1777674924.562,h2_nas,192.168.20.31,home-b,home,0,0,0,0,0,0.413,0.345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,NORMAL,0,NORMAL,0,NORMAL,0
3,1777674924.562,h2_pc,192.168.20.11,home-b,home,0,0,0,0,0,0.072,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,NORMAL,0,NORMAL,0,NORMAL,0
3,1777674924.562,isp_r1,10.255.0.1,backbone,router,0,0,0,0,0,0.037,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,NORMAL,0,NORMAL,0,NORMAL,0
3,1777674924.562,r_dc,10.255.0.30,datacenter,router,0,0,0,0,0,0.047,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,NORMAL,0,NORMAL,0,NORMAL,0
3,1777674924.562,r_ent1,10.255.0.11,enterprise-a,router,0,0,0,0,0,0.037,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,NORMAL,0,NORMAL,0,NORMAL,0
3,1777674924.562,r_ent2,10.255.0.12,enterprise-b,router,0,0,0,0,0,0.043,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,NORMAL,0,NORMAL,0,NORMAL,0
3,1777674924.562,r_home1,10.255.0.21,home-a,router,0,0,0,0,0,0.079,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,NORMAL,0,NORMAL,0,NORMAL,0
3,1777674924.562,r_home2,10.255.0.22,home-b,router,0,0,0,0,0,0.049,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,NORMAL,0,NORMAL,0,NORMAL,0
4,1777674940.46,dc_monitor,172.16.1.40,datacenter,security,0,0,0,0,0,0.104,0.054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,NORMAL,0,NORMAL,0,NORMAL,0
4,1777674940.46,dc_pub_dns,172.16.1.53,datacenter,dns,0,0,0,0,0,1.416,1.363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,NORMAL,0,NORMAL,0,NORMAL,0
4,1777674940.46,dc_vpn,172.16.1.30,datacenter,server,0,0,0,0,0,6.769,6.694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,NORMAL,0,NORMAL,0,NORMAL,0
4,1777674940.46,dc_web,172.16.1.20,datacenter,server,0,0,0,0,0,0.144,0.081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDOS_TARGET,15,DDOS_TARGET,15,DDOS_TARGET,15,NORMAL,0
4,1777674940.46,e1_dhcp,10.10.1.2,enterprise-a,dhcp,0,0,0,0,0,15.389,15.319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,NORMAL,0,NORMAL,0,NORMAL,0
4,1777674940.46,e1_dns,10.10.1.53,enterprise-a,dns,0,0,0,0,0,14.966,14.846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,NORMAL,0,NORMAL,0,NORMAL,0
4,1777674940.46,e1_erp,10.10.1.40,enterprise-a,enterprise,0,0,0,0,0,5.886,5.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,NORMAL,0,NORMAL,0,NORMAL,0
4,1777674940.46,e1_pc1,10.10.1.11,enterprise-a,enterprise,0,0,0,0,0,0.471,0.395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,NORMAL,0,NORMAL,0,NORMAL,0
4,1777674940.46,e1_pc2,10.10.1.12,enterprise-a,enterprise,0,0,0,0,0,8.223,8.153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,NORMAL,0,NORMAL,0,NORMAL,0
4,1777674940.46,e2_crm,10.20.1.41,enterprise-b,enterprise,0,0,0,0,0,0.636,0.554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,NORMAL,0,NORMAL,0,NORMAL,0
4,1777674940.46,e2_dhcp,10.20.1.2,enterprise-b,dhcp,0,0,0,0,0,21.197,21.137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,NORMAL,0,NORMAL,0,NORMAL,0
4,1777674940.46,e2_dns,10.20.1.53,enterprise-b,dns,0,0,0,0,0,0.391,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,NORMAL,0,NORMAL,0,NORMAL,0
4,1777674940.46,e2_pc1,10.20.1.11,enterprise-b,enterprise,0,0,0,0,0,7.822,7.741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,NORMAL,0,NORMAL,0,NORMAL,0
4,1777674940.46,e2_pc2,10.20.1.12,enterprise-b,enterprise,0,0,0,0,0,7.952,7.883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,NORMAL,0,NORMAL,0,NORMAL,0
4,1777674940.46,h1_iot,192.168.10.31,home-a,iot,0,0,0,0,0,1.419,1.308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDOS_SOURCE,14,DDOS_SOURCE,14,DDOS_SOURCE,14,NORMAL,0
